Task,Metric,Effect,F,p,test_used,eta_squared_partial,epsilon,Primary,n_participants,n_obs
Locate Task,Target Acquisition Rate (targets/min),grading,9.313887821176193,0.004728624670392637,ANOVA,0.23691088155772072,,True,32,64
Locate Task,Target Acquisition Rate (targets/min),interpolation,18.034215480013287,0.00019307324134321938,ANOVA,0.3754451967164365,1.0,True,32,64
Locate Task,Target Acquisition Rate (targets/min),Interaction,1.4911969881519211,0.23154130750228213,ANOVA,0.047352820177428034,,True,32,64
Point Task,Selection Error (cm),grading,3.2513837361187554,0.08141643510131706,ANOVA,0.09778190772214375,,True,32,64
Point Task,Selection Error (cm),interpolation,10.225204558902504,0.0032579590579972246,ANOVA,0.25419894494084044,1.0,True,32,64
Point Task,Selection Error (cm),Interaction,0.8688034010108628,0.35872801758399475,ANOVA,0.028145030104484454,,True,32,64
Distal Attribution,Composite DA Score,grading,5.532865347798343,0.025419199772522827,ANOVA,0.15571120689655177,,True,32,64
Distal Attribution,Composite DA Score,interpolation,3.8347964884277705,0.05955489600148008,ANOVA,0.11333883712701961,1.0,True,32,64
Distal Attribution,Composite DA Score,Interaction,0.003990422984835486,0.9500503204472768,ANOVA,0.00013299640909692417,,True,32,64
Point Task,Angular Deviation (degrees),grading,0.685300123994019,0.41430473182649696,ANOVA,0.02233317325314854,,False,32,64
Point Task,Angular Deviation (degrees),interpolation,7.1320694035960575,0.01323032844811678,Wilcoxon,0.19207303870075587,1.0,False,32,64
Point Task,Angular Deviation (degrees),Interaction,1.539584517867061,0.22429563157889454,ANOVA,0.04881435635256679,,False,32,64
Point Task,Depth Error (cm),grading,4.277860715766278,0.04732708339041178,ANOVA,0.12479952442885835,,False,32,64
Point Task,Depth Error (cm),interpolation,7.235908631867499,0.02400159277021885,Wilcoxon,0.1943260926812677,1.0,False,32,64
Point Task,Depth Error (cm),Interaction,4.453273802125419,0.04328134112195391,ANOVA,0.12925546140264604,,False,32,64
